中文名,出现次数,主面料本,建议英文翻译,生成方式
丁香紫,1,6401,lilac,规则生成
中可可棕,1,6416,medium cocoa brown,规则生成
中巧克力麻灰,1,6416,medium chocolate heather,规则生成
中暖驼色,1,6415,medium warm camel,规则生成
中棕人字纹,1,6414,medium brown herringbone,规则生成
中橄榄草绿,1,6410,medium olive green,规则生成
中浅灰鸟眼纹,1,6410,medium-light grey birdseye,规则生成
中浅钢蓝格纹,1,6413,medium-light steel blue check,规则生成
中深冷调棕,1,6410,medium-dark cool brown,规则生成
中深巧克力棕,2,6410,Medium-dark chocolate brown,已有词典
中深暖灰,1,6410,medium-dark warm grey,规则生成
中深棕,1,6416,medium-dark brown,规则生成
中深棕灰人字纹,1,6411,medium-dark brown grey herringbone,规则生成
中深橄榄绿,1,6413,medium-dark olive green,规则生成
中深灰,1,6415,medium-dark grey,规则生成
中深灰格纹,1,6413,medium-dark grey check,规则生成
中深灰盐椒纹,1,6414,medium-dark grey salt-and-pepper,规则生成
中深灰素色,1,6412,medium-dark grey plain,规则生成
中深灰麻点纹,1,6411,medium-dark grey granite,规则生成
中深炭灰人字纹,1,6413,medium-dark charcoal grey herringbone,规则生成
中深炭灰颗粒,1,6411,medium-dark charcoal grey granular,规则生成
中深石板灰蓝,1,6410,medium-dark slate blue-grey,规则生成
中深蓝,2,6414,medium-dark blue,规则生成
中深蓝大窗格,1,6412,medium-dark blue large windowpane,规则生成
中深蓝斜纹,2,6410,medium-dark blue twill,规则生成
中深蓝条纹,1,6413,medium-dark blue stripe,规则生成
中深蓝灰人字纹,2,6411,medium-dark blue grey herringbone,规则生成
中深麻灰,1,6411,medium-dark heather,规则生成
中灰,5,6401,Mid grey,已有词典
中灰人字纹,3,6411,medium grey herringbone,规则生成
中灰人字纹芥黄窗格,1,6411,medium grey herringbone with mustard windowpane,规则生成
中灰宽竖条纹,1,6412,medium grey wide vertical stripe,规则生成
中灰小人字纹,1,6413,medium grey fine herringbone,规则生成
中灰微格红窗格,1,6411,medium grey mini check with red windowpane,规则生成
中灰斜纹,2,6410,medium grey twill,规则生成
中灰格伦格纹,2,6413,medium grey glen check,规则生成
中灰橄榄调,1,6415,,待确认(中灰橄榄调)
中灰深浅人字纹,1,6413,medium grey light-and-dark herringbone,规则生成
中灰红窗格,1,6413,medium grey red windowpane,规则生成
中灰细人字纹,1,6412,medium grey fine herringbone,规则生成
中灰细条纹,1,6413,medium grey fine stripe,规则生成
中灰细竖条纹,1,6412,medium grey fine vertical stripe,规则生成
中灰细纹,1,6410,medium grey fine weave,规则生成
中灰蓝人字纹,1,6414,medium grey blue herringbone,规则生成
中灰蓝青,1,6410,Medium grey teal,已有词典
中灰褐,3,6410,medium grey brown,规则生成
中灰褐人字纹,1,6411,medium grey brown herringbone,规则生成
中灰鲨皮纹,1,6413,medium grey sharkskin,规则生成
中灰麻灰,2,6412,medium grey heather,规则生成
中炭灰,1,6415,medium charcoal grey,规则生成
中牛仔蓝,1,6415,medium denim blue,规则生成
中石板蓝灰,1,6410,medium slate blue-grey,规则生成
中蓝,3,6401,medium blue,规则生成
中调冷灰,1,6411,,待确认(中调冷灰)
中调藏青,1,6410,,待确认(中调藏青)
中麻灰,1,6410,medium heather,规则生成
