garment_zh	group_zh	option_zh	english_path
西装上衣	下摆开角大小	大开角下摆	jacket/hem-opening/wide-open-quarter-hem.jpeg
西装上衣	下摆开角大小	小开角下摆	jacket/hem-opening/narrow-open-quarter-hem.jpeg
西装上衣	下摆开角大小	标准下摆	jacket/hem-opening/standard-hem.jpeg
西装上衣	口袋款式	双牙兜	jacket/pocket-style/double-welt-pocket.png
西装上衣	口袋款式	双牙兜票据兜	jacket/pocket-style/double-welt-pocket-with-ticket-pocket.gif
西装上衣	口袋款式	双牙斜兜票据兜	jacket/pocket-style/slanted-double-welt-pocket-with-ticket-pocket.gif
西装上衣	口袋款式	斜兜	jacket/pocket-style/slanted-pocket.gif
西装上衣	口袋款式	斜兜票据兜	jacket/pocket-style/slanted-pocket-with-ticket-pocket.gif
西装上衣	口袋款式	明贴兜	jacket/pocket-style/patch-pocket.gif
西装上衣	口袋款式	标准兜	jacket/pocket-style/flap-pocket.gif
西装上衣	口袋款式	标准兜票据兜	jacket/pocket-style/flap-pocket-with-ticket-pocket.gif
西装上衣	正面款式	单排一粒扣	jacket/front-style/single-breasted-one-button.jpeg
西装上衣	正面款式	单排三粒扣	jacket/front-style/single-breasted-three-button.jpeg
西装上衣	正面款式	单排两粒扣	jacket/front-style/single-breasted-two-button.jpeg
西装上衣	正面款式	单排四粒扣	jacket/front-style/single-breasted-four-button.jpeg
西装上衣	正面款式	双排六扣二	jacket/front-style/double-breasted-six-button-two-fastening.jpeg
西装上衣	正面款式	双排六扣四	jacket/front-style/double-breasted-six-button-four-fastening.jpeg
西装上衣	正面款式	双排四扣二	jacket/front-style/double-breasted-four-button-two-fastening.jpeg
西装上衣	正面款式	双排四扣四	jacket/front-style/double-breasted-four-button-four-fastening.jpeg
西装上衣	毛衬	全麻衬	jacket/canvas-construction/full-canvas.jpeg
西装上衣	毛衬	半麻衬	jacket/canvas-construction/half-canvas.jpeg
西装上衣	毛衬	粘合衬	jacket/canvas-construction/fused-construction.jpeg
西装上衣	肩膀样式	法式翘肩	jacket/shoulder-style/french-roped-shoulder.jpeg
西装上衣	肩膀样式	自然肩	jacket/shoulder-style/natural-shoulder.jpeg
西装上衣	胸兜款式	双牙兜	jacket/breast-pocket-style/double-welt-pocket.png
西装上衣	胸兜款式	弧形兜	jacket/breast-pocket-style/curved-breast-pocket.png
西装上衣	胸兜款式	直兜	jacket/breast-pocket-style/straight-breast-pocket.png
西装上衣	袖叉款式	假扣眼	jacket/sleeve-buttonholes/non-functional-buttonholes.jpeg
西装上衣	袖叉款式	无扣眼	jacket/sleeve-buttonholes/no-buttonholes.jpeg
西装上衣	袖叉款式	真扣眼	jacket/sleeve-buttonholes/functional-buttonholes.jpeg
西装上衣	西服开衩选择	不开衩	jacket/vents/ventless.jpeg
西装上衣	西服开衩选择	单开衩	jacket/vents/single-center-vent.jpeg
西装上衣	西服开衩选择	双开衩	jacket/vents/double-side-vents.jpeg
西装上衣	西服背面款式	T型后背	jacket/back-style/t-shaped-back.jpeg
西装上衣	西服背面款式	后腰固定腰带	jacket/back-style/fixed-back-belt.jpeg
西装上衣	西服背面款式	后腰带捏褶	jacket/back-style/pleated-back-belt.jpeg
西装上衣	西服背面款式	常规后背	jacket/back-style/plain-back.png
西装上衣	里布位置	三分之一里布	jacket/lining/one-third-lined.jpeg
西装上衣	里布位置	二分之一里布	jacket/lining/half-lined.jpeg
西装上衣	里布位置	全里布	jacket/lining/fully-lined.jpeg
西装上衣	里布位置	四分之一里布	jacket/lining/quarter-lined.jpeg
西装上衣	驳头款式	平驳领	jacket/lapel-style/notch-lapel.jpeg
西装上衣	驳头款式	戗驳领	jacket/lapel-style/peak-lapel.jpeg
西装上衣	驳头款式	青果领	jacket/lapel-style/shawl-lapel.jpeg
西裤	扣型	双扣意式腰头	trousers/waistband-style/double-button-italian-waistband.jpg
西裤	扣型	圆腰头	trousers/waistband-style/rounded-waistband.jpg
西裤	扣型	好莱坞腰头	trousers/waistband-style/hollywood-waistband.jpg
西裤	扣型	宝剑头	trousers/waistband-style/pointed-extended-waistband.jpg
西裤	扣型	平腰头	trousers/waistband-style/plain-waistband.jpg
西裤	扣型	廓尔格腰头	trousers/waistband-style/gurkha-waistband.jpg
西裤	裤型	喇叭裤型	trousers/trouser-cut/flared-leg.jpeg
西裤	裤型	标准裤型	trousers/trouser-cut/regular-fit.jpeg
西裤	裤型	直筒裤型	trousers/trouser-cut/straight-leg.jpeg
西裤	裤型	锥状裤型	trousers/trouser-cut/tapered-leg.jpeg
西裤	裤脚	毛边	trousers/trouser-hem/unfinished-hem.jpeg
西裤	裤脚	裤脚口内折边	trousers/trouser-hem/plain-hem.jpeg
西裤	裤脚	裤脚口外翻翘	trousers/trouser-hem/turn-up-cuff.jpeg
西裤	裤脚	靴裤脚口	trousers/trouser-hem/bootcut-hem.jpeg
西裤	裤脚口	裤脚口三角开口	trousers/hem-opening/triangular-split-hem.jpeg
西裤	裤脚口	裤脚口打开	trousers/hem-opening/open-hem.jpeg
西裤	褶皱	三褶皱	trousers/pleats/triple-pleat.jpeg
西裤	褶皱	单褶皱	trousers/pleats/single-pleat.jpeg
西裤	褶皱	双褶皱	trousers/pleats/double-pleat.jpeg
西裤	褶皱	无褶皱	trousers/pleats/flat-front.jpeg
马甲	马甲下摆	尖摆	waistcoat/hem-style/pointed-hem.jpeg
马甲	马甲下摆	平摆	waistcoat/hem-style/straight-hem.jpeg
马甲	马甲口袋数量	单胸兜	waistcoat/pocket-count/single-breast-pocket.jpeg
马甲	马甲口袋数量	双胸兜	waistcoat/pocket-count/double-breast-pockets.jpeg
马甲	马甲口袋数量	无胸兜	waistcoat/pocket-count/no-breast-pockets.jpeg
马甲	马甲口袋款式	双牙兜	waistcoat/pocket-style/double-welt-pocket.jpeg
马甲	马甲口袋款式	带兜盖	waistcoat/pocket-style/flap-pocket.jpeg
马甲	马甲口袋款式	标准兜	waistcoat/pocket-style/welt-pocket.jpeg
马甲	马甲款式	双排六扣三	waistcoat/waistcoat-style/double-breasted-six-button-three-fastening.jpeg
马甲	马甲款式	圆形三粒扣	waistcoat/waistcoat-style/rounded-three-button.jpeg
马甲	马甲款式	平驳领五粒扣	waistcoat/waistcoat-style/five-button-notch-lapel.jpeg
马甲	马甲款式	平驳领六扣三(1)	waistcoat/waistcoat-style/six-button-three-fastening-notch-lapel-alt.jpeg
马甲	马甲款式	平驳领六扣三	waistcoat/waistcoat-style/six-button-three-fastening-notch-lapel.jpeg
马甲	马甲款式	戗驳领五粒扣	waistcoat/waistcoat-style/five-button-peak-lapel.jpeg
马甲	马甲款式	戗驳领六扣三	waistcoat/waistcoat-style/six-button-three-fastening-peak-lapel.jpeg
马甲	马甲款式	标准五粒扣	waistcoat/waistcoat-style/classic-five-button.jpeg
马甲	马甲款式	青果领三粒扣	waistcoat/waistcoat-style/three-button-shawl-lapel.jpeg
衬衫	下摆	圆摆	shirt/hem-style/shirt-tail-hem.jpeg
衬衫	下摆	圆摆宝剑头贴	shirt/hem-style/shirt-tail-hem-pointed-gusset.png
